video_id,channel,status,timestamp
6rzzE_MACME,DevOops_conf,no_subs,2025-07-30T21:58:51.498931
32IVzNo0rwM,DevOops_conf,success,2025-07-30T21:58:59.128438
v_sbK_4qLWk,DevOops_conf,success,2025-07-30T21:59:07.854138
SER33XdqUAk,DevOops_conf,no_subs,2025-07-30T21:59:17.840197
U56FBwMmTIE,DevOops_conf,success,2025-07-30T21:59:24.973432
oBOiP6_g7Sc,DevOops_conf,success,2025-07-30T21:59:32.351190
l_qOY7TOXQc,DevOops_conf,no_subs,2025-07-30T21:59:38.569359
_NUInsOGuWc,DevOops_conf,no_subs,2025-07-30T21:59:48.419135
5nS6WFTCGmY,DevOops_conf,success,2025-07-30T22:00:32.945996
wxZUk5N8Iks,DevOops_conf,success,2025-07-30T22:00:42.556766
vmDlEsnzs3Y,DevOops_conf,success,2025-07-30T22:00:51.162022
tbl5qDCu4nM,DevOops_conf,no_subs,2025-07-30T22:01:00.856185
nC_giRGIBOA,DevOops_conf,no_subs,2025-07-30T22:01:09.745901
kkpFvFyE48k,DevOops_conf,error,2025-07-30T22:01:18.911502
kTc4W5XOC3g,DevOops_conf,error,2025-07-30T22:01:29.527024
bv-_mS2NEpw,DevOops_conf,no_subs,2025-07-30T22:01:38.780995
O7JSB9p4NnU,DevOops_conf,error,2025-07-30T22:01:49.154119
KOTSsJJW17Y,DevOops_conf,error,2025-07-30T22:01:57.543616
FwbZuRMdO94,DevOops_conf,no_subs,2025-07-30T22:03:06.064604
D_i6xt7VSZ8,DevOops_conf,success,2025-07-30T22:03:14.656831
CZPDrFSyUOc,DevOops_conf,success,2025-07-30T22:03:23.607886
5JdqmEGKC9I,DevOops_conf,success,2025-07-30T22:03:30.462958
1kz7ZBlMVik,DevOops_conf,success,2025-07-30T22:03:37.083228
1Wf2-KPjIrI,DevOops_conf,no_subs,2025-07-30T22:03:43.142188
nQd209e9eCY,DevOops_conf,success,2025-07-30T22:03:52.814928
jRslv8K6ML8,DevOops_conf,no_subs,2025-07-30T22:04:02.824457
V5Yczez99pU,DevOops_conf,no_subs,2025-07-30T22:04:11.095497
icbKvpdvyB4,DevOops_conf,success,2025-07-30T22:04:21.453113
3FioTvXz7QM,DevOops_conf,error,2025-07-30T22:05:10.498153
VSgAcpRTCdA,DevOops_conf,success,2025-07-30T22:05:20.495599
YZIG-xbNgWk,DevOops_conf,no_subs,2025-07-30T22:05:29.700822
lseEXrPZG3k,DevOops_conf,no_subs,2025-07-30T22:05:38.600808
BiibF8Wu1lg,DevOops_conf,success,2025-07-30T22:05:49.327615
Mk3kl_8YdD0,DevOops_conf,success,2025-07-30T22:05:56.566431
0xkNkEvDG1w,DevOops_conf,success,2025-07-30T22:06:04.258325
8iSubpC10_Q,DevOops_conf,success,2025-07-30T22:06:14.282673
SGkskp-6c4s,DevOops_conf,success,2025-07-30T22:06:22.506280
M3HTM81P-Sg,DevOops_conf,success,2025-07-30T22:06:30.432231
1bqazmFXdLM,DevOops_conf,success,2025-07-30T22:07:38.912187
n7Te9WIz1ho,DevOops_conf,success,2025-07-30T22:07:48.044085
iz-X41p_BN4,DevOops_conf,success,2025-07-30T22:07:57.713110
E_zNFJL_8eQ,DevOops_conf,success,2025-07-30T22:08:07.143695
6yCzBE6I1lU,DevOops_conf,success,2025-07-30T22:08:16.013773
KSIhUogcOqU,DevOops_conf,success,2025-07-30T22:08:25.308915
3OLqVzIzp0U,DevOops_conf,no_subs,2025-07-30T22:08:33.343605
a5OTIoqoB_4,DevOops_conf,no_subs,2025-07-30T22:08:41.185768
74L7LhVAHqw,DevOops_conf,no_subs,2025-07-30T22:08:50.184029
XYD1UfsIHRg,DevOops_conf,success,2025-07-30T22:09:01.017656
SZSnpYiOk4Y,DevOops_conf,error,2025-07-30T22:10:02.951122
r7bb1jv4I1A,DevOops_conf,error,2025-07-30T22:10:09.883313
s1GvxZIO27Y,DevOops_conf,error,2025-07-30T22:10:19.967145
QoCSvwkP_lQ,DevOops_conf,error,2025-07-30T22:10:29.468732
XHhyykKCBao,DevOops_conf,no_subs,2025-07-30T22:10:37.355128
oVNpbJximrI,DevOops_conf,error,2025-07-30T22:10:47.798817
Ourz8tRtIfU,DevOops_conf,error,2025-07-30T22:10:56.323818
WFua5oNCmGk,DevOops_conf,no_subs,2025-07-30T22:11:04.831638
7whNnuMC2p4,DevOops_conf,no_subs,2025-07-30T22:11:13.562419
TZj4Ik6ZaEo,DevOops_conf,success,2025-07-30T22:11:22.000755
IpJgL-VRyaM,DevOops_conf,success,2025-07-30T22:12:24.856556
GvdoHGrYUng,DevOops_conf,no_subs,2025-07-30T22:12:33.057619
rRfcBtd-D9Y,DevOops_conf,no_subs,2025-07-30T22:12:41.977636
x-c6YvzRPys,DevOops_conf,no_subs,2025-07-30T22:12:48.910368
WSiCZ6v35gw,DevOops_conf,no_subs,2025-07-30T22:12:58.077112
9p4Hu2iz7os,DevOops_conf,no_subs,2025-07-30T22:13:06.260048
Qx2N6EDIIow,DevOops_conf,no_subs,2025-07-30T22:13:16.532615
t_tk-Ewp4V0,DevOops_conf,success,2025-07-30T22:13:26.157523
vEO9RLzAa_4,DevOops_conf,success,2025-07-30T22:13:35.514944
23H5wCJXqPo,DevOops_conf,success,2025-07-30T22:13:45.343909
E6O_TU_twf8,DevOops_conf,success,2025-07-30T22:14:48.536623
UkP0PGMbWxY,DevOops_conf,success,2025-07-30T22:14:58.743325
ZsAwuffrTT4,DevOops_conf,success,2025-07-30T22:15:08.429811
By-DEHiH5mg,DevOops_conf,success,2025-07-30T22:15:17.167657
e7FmABKOXLU,DevOops_conf,no_subs,2025-07-30T22:15:26.635737
WSNJU7RYhC4,DevOops_conf,success,2025-07-30T22:15:33.596101
